,Console_Abbreviation,Console_Name,Global_WorldWide_Sales
1,PS2,PLAYSTATION 2,158700000
2,DS,NINTENDO DS,154020000
3,NS,NINTENDO SWITCH,132910000
4,GB,GAME BOY,118690000
5,PS4,PLAYSTATION 4,117170000
6,PS,PLAYSTATION,102490000
7,Wii,NINTENDO WII,101630000
8,PS3,PLAYSTATION 3,87400000
9,X360,XBOX 360,85730000
10,PSP,PLAYSTATION PORTABLE,82520000
11,GBA,GAME BOY ADVANCE,81510000
12,3DS,NINTENDO 3DS,75940000
13,NES,NINTENDO ENTERTAINMENT SYSTEM,61910000
14,XOne,XBOX ONE,57960000
15,SNES,SUPER NINTENDO ENTERTAINMENT SYSTEM,49100000
16,PS5,PLAYSTATION 5,48930000
17,GEN,SEGA GENESIS,34060000
18,N64,NINTENDO 64,32930000
19,2600,ATARI 2600,30000000
20,XS,XBOX SERIES X/S,25370000
21,XB,XBOX,24650000
22,GC,GAMECUBE,21740000
23,MS,SEGA MASTER SYSTEM,20840000
24,PSV,PLAYSTATION VITA,15820000
25,WiiU,NINTENDO WII U,13560000
26,GG,GAMEGEAR,10620000
27,TG16,TURBOGRAFX-16,10000000
28,SAT,SEGA SATURN,9260000
29,DC,DREAMCAST,9130000
30,Beena,SEGA ADVANCED PICO BEENA,4100000
31,7800,ATARI 7800,3770000
32,WS,WONDERSWAN,3500000
33,Pico,SEGA PICO,3400000
34,Int,INTELLIVISION,3000000
35,NGage,N-GAGE,3000000
36,SCD,SEGA CD,2240000
37,3DO,3DO INTERACTIVE MULTIPLAYER,2000000
38,CV,COLECOVISION,2000000
39,NGP,NEO GEO POCKET,2000000
40,Odys2,MAGNAVOX ODYSSEY 2,2000000
41,SG,SEGA SG,1920000
42,TE,TURBOEXPRESS,1500000
43,NG,NEO GEO,1060000
44,Lynx,ATARI LYNX,1000000
45,5200,ATARI 5200,1000000
46,CDi,CD-I,1000000
47,CT,COLECO TELSTAR,1000000
48,Ding,DINGOO,1000000
49,GN,GENESIS NOMAD,1000000
50,S32X,SEGA 32X,800000
51,VB,VIRTUAL BOY,770000
52,NGCD,NEO GEO CD,570000
53,Cyb,CYBIKO,500000
54,PCFX,PC-FX,400000
55,CaVi,CASSETTE VISION,400000
56,FCF,FAIRCHILD CHANNEL F,350000
57,Odys,MAGNAVOX ODYSSEY,350000
58,Ga,GAME.COM,300000
59,SCaVi,SUPER CASSETTE VISION,300000
60,AJ,ATARI JAGUAR,250000
61,TZ,TAPWAVE ZODIAC,200000
62,Ouya,OUYA,200000
63,NGPC,NEO GEO POCKET COLOR,129999
64,TT,TOMY TUTOR,120000
65,CD32,AMIGA CD32,100000
66,SGrafx,PC ENGINE SUPERGRAFX,80000
67,GW,GAME WAVE,70000
68,GP2X,GP2X,60000
69,RCA,RCA STUDIO II,60000
70,FMTM,FM TOWNS MARTY,50000
71,PD,PLAYDATE,50000
72,MP1000,APF-MP1000,50000
73,AP,APPLE PIPPIN,40000
74,GP32,GAMEPARK 32,30000
75,GIZ,GIZMONDO,20000
76,GX4000,AMSTRAD GX4000,20000
77,C64GS,COMMODORE 64 GAMES SYSTEM,20000
78,VIS,TANDY VIDEO INFORMATION SYSTEM,10000
79,HS,HYPERSCAN,10000
80,AV,ADVENTURE VISION,10000
81,PVS,PALMTEX PORTABLE VIDEOGAME SYSTEM,10000
82,Pa,PANDORA,10000
83,IQue,IQUE PLAYER,10000
