date;ulsp_price_litre;ulsp_diff_prev_week_litre;ulsd_price_litre;ulsd_diff_prev_week_litre
9/6/2003;74,59;;76,77;
16/6/2003;74,47;-0,1;76,69;-0,1
23/6/2003;74,42;0;76,62;-0,1
30/6/2003;74,35;-0,1;76,51;-0,1
7/7/2003;74,28;-0,1;76,46;0
14/7/2003;74,21;-0,1;76,41;0
21/7/2003;75,07;0,9;76,9;0,5
28/7/2003;75,1;0;76,86;0
4/8/2003;75,12;0;76,81;0
11/8/2003;75,44;0,3;77,08;0,3
18/8/2003;75,81;0,4;77,44;0,4
26/8/2003;76,05;0,2;77,68;0,2
1/9/2003;76,13;0,1;77,59;-0,1
8/9/2003;76,23;0,1;77,67;0,1
15/9/2003;76,2;0;77,63;0
22/9/2003;76,15;0;77,55;-0,1
29/9/2003;76,08;-0,1;77,53;0
6/10/2003;76,43;0,3;77,66;0,1
13/10/2003;75,9;-0,5;77,43;-0,2
20/10/2003;76,05;0,2;77,54;0,1
27/10/2003;76;-0,1;77,51;0
3/11/2003;76;0;77,52;0
10/11/2003;75,94;-0,1;77,47;-0,1
17/11/2003;75,93;0;77,52;0
24/11/2003;76,02;0,1;77,67;0,2
1/12/2003;76;0;77,66;0
8/12/2003;75,97;0;77,63;0
15/12/2003;75,96;0;77,62;0
22/12/2003;75,92;0;77,61;0
29/12/2003;75,94;0;77,6;0
5/1/2004;75,88;-0,1;77,54;-0,1
12/1/2004;75,9;0;77,54;0
19/1/2004;76,36;0,5;78,06;0,5
26/1/2004;76,44;0,1;78,08;0
2/2/2004;76,48;0;78,13;0
9/2/2004;76,5;0;77,98;-0,1
16/2/2004;76,44;-0,1;78;0
23/2/2004;76,38;-0,1;77,93;-0,1
1/3/2004;76,32;-0,1;77,87;-0,1
8/3/2004;76,73;0,4;78,25;0,4
15/3/2004;77,39;0,7;78,8;0,5
22/3/2004;77,44;0,1;78,92;0,1
29/3/2004;77,59;0,2;79,01;0,1
5/4/2004;77,86;0,3;79,23;0,2
12/4/2004;77,88;0;79,27;0
19/4/2004;78,04;0,2;79,43;0,2
26/4/2004;78,4;0,4;79,75;0,3
4/5/2004;79,28;0,9;80,64;0,9
10/5/2004;80,3;1;81,68;1
17/5/2004;81,49;1,2;82,83;1,2
24/5/2004;82,13;0,6;83,48;0,6
31/5/2004;82,35;0,2;83,61;0,1
7/6/2004;82,44;0,1;83,65;0
14/6/2004;81,54;-0,9;82,6;-1
21/6/2004;81,04;-0,5;82,09;-0,5
28/6/2004;80,41;-0,6;81,04;-1
5/7/2004;79,87;-0,5;80,51;-0,5
12/7/2004;80,34;0,5;81,05;0,5
19/7/2004;80,84;0,5;81,68;0,6
26/7/2004;80,87;0;81,7;0
2/8/2004;80,86;0;81,79;0,1
