year;month;weekNumber;pedal_cycles;all_motor_vehicles
2000;03;11;6007;1395788
2000;03;12;21049;6800397
2000;03;13;19099;6220602
2000;04;14;19246;7328727
2000;04;15;19774;6803920
2000;05;18;22835;5178717
2000;05;19;28249;7722164
2000;05;20;24237;7860734
2000;05;21;22737;6610172
2000;06;23;24102;6922945
2000;06;24;24272;7092161
2000;06;25;25792;7534628
2000;06;26;33316;6420959
2000;07;27;30223;6767038
2000;07;28;23504;7264020
2000;09;36;425;570870
2000;09;38;607;158370
2000;09;39;25641;7422634
2000;10;40;34813;10189348
2000;10;41;30276;8649837
2000;10;42;6042;2656525
2000;10;43;58;322007
2000;10;44;6794;1939939
2000;11;44;0;47313
2001;03;11;5071;1674184
2001;03;12;19167;7289750
2001;03;13;21350;7513295
2001;04;14;21451;7075427
2001;04;17;26735;7746780
2001;04;18;6974;1515468
2001;05;18;24105;6586800
2001;05;19;25407;6100745
2001;05;20;24031;7672524
2001;05;21;43697;7711703
2001;06;23;32304;7809760
2001;06;24;29658;8043503
2001;06;25;42872;8383461
2001;06;26;33312;8030295
2001;07;27;37767;7713178
2001;07;28;29240;7617004
2001;09;36;828;349288
2001;09;37;388;392817
2001;09;38;23592;6823707
2001;09;39;28612;7551273
2001;10;40;27854;6969862
2001;10;41;26128;7065460
2001;10;42;5004;1056317
2001;10;43;303;67941
2001;10;44;1374;140455
2002;03;11;3962;1287756
2002;03;12;19464;6697528
2002;04;15;22886;5602576
2002;04;16;25267;7692888
2002;04;17;30090;7001926
2002;04;18;7901;2813292
2002;05;18;12965;4063622
2002;05;19;20528;5880553
2002;05;20;27406;6728144
2002;05;21;27101;7278873
2002;05;22;27104;6875621
2002;06;24;24084;6489425
2002;06;25;22446;6483209
2002;06;26;33139;7888596
2002;07;27;25394;7110419
2002;07;28;26173;7224454
2002;09;36;432;279527
2002;09;37;464;240655
2002;09;38;29668;6398497
2002;09;39;33976;6924902
2002;09;40;8652;1392046
2002;10;40;27528;5997407
2002;10;41;31024;7779835
2002;10;42;20342;6926055
2002;10;43;625;265887
2002;10;44;1284;154778
2003;03;11;4281;1633433
2003;03;12;30880;6599876
2003;03;13;33500;7839985
2003;03;14;5708;1816784
2003;04;14;24783;5473901
2003;04;15;32380;7548268
2003;04;18;20818;4045887
2003;05;18;10541;3206717
2003;05;19;30695;5950656
2003;05;20;32676;7184382
2003;05;21;31802;7235610
2003;06;23;38361;7464084
2003;06;24;35468;7754763
2003;06;25;41128;7414395
2003;06;26;36867;7136179
2003;06;27;5383;1303969
2003;07;27;22832;5766932
2003;07;28;37203;7317618
2003;09;36;1802;454707
2003;09;37;554;353694
2003;09;38;37108;6443828
2003;09;39;29490;7188611
2003;09;40;16002;3171203
2003;10;40;16581;4430373
2003;10;41;36788;6935085
2003;10;42;376;242174
2003;10;43;105;52065
2004;03;11;4117;1162392
2004;03;12;18760;5643523
2004;03;13;21766;6343029
2004;03;14;14577;4141902
2004;04;14;9305;2292310
2004;04;16;5;492
2004;04;17;26039;5734732
2004;04;18;26885;7392671
2004;05;19;18553;5180307
2004;05;20;27796;7056259
2004;05;21;34749;6143479
2004;05;22;31148;5771394
2004;06;23;69;19797
2004;06;24;32317;5922587
2004;06;25;34499;5713210
2004;06;26;29829;6288848
2004;06;27;22045;3268824
2004;07;27;13070;2656240
2004;07;28;26604;5919797
2004;07;29;41;12315
2004;07;30;4;8546
2004;07;31;1;3516
2004;08;35;0;17060
2004;08;36;874;143127
2004;09;36;354;236069
2004;09;37;1133;559679
2004;09;38;29424;5878673
2004;09;39;24876;6772273
2004;09;40;27734;5170237
2004;10;40;9993;1169797
2004;10;41;29950;5658439
2004;10;42;21503;5483705
2004;10;43;17740;6153917
2004;10;44;1174;765859
2004;11;45;4;4874
2005;03;11;3950;1169407
2005;04;14;5461;1838840
2005;04;15;25814;6581628
2005;04;16;23079;6593672
2005;04;17;30602;6786575
2005;05;18;20670;4906068
2005;05;19;34453;6375295
2005;05;20;24850;6094551
2005;05;21;37339;6535965
2005;06;23;30112;6362013
2005;06;24;30335;6456034
2005;06;25;37071;6016440
2005;06;26;22604;4719355
2005;07;26;7355;1526810
2005;07;27;25915;6211420
2005;07;28;2059;510625
2005;09;36;783;457351
2005;09;37;29689;6841201
2005;09;38;31725;6574735
2005;09;39;32989;7003128
2005;10;40;32282;6686284
2005;10;41;25809;5872695
2005;10;42;21963;6071065
2005;10;43;201;336933
2005;10;44;270;110888
2005;11;44;432;298336
