date;ulsp_pump_price_litre;ulsd_pump_price_litre
9/6/2003;74,59;76,77
16/6/2003;74,47;76,69
23/6/2003;74,42;76,62
30/6/2003;74,35;76,51
7/7/2003;74,28;76,46
14/7/2003;74,21;76,41
21/7/2003;75,07;76,9
28/7/2003;75,1;76,86
4/8/2003;75,12;76,81
11/8/2003;75,44;77,08
18/8/2003;75,81;77,44
26/8/2003;76,05;77,68
1/9/2003;76,13;77,59
8/9/2003;76,23;77,67
15/9/2003;76,2;77,63
22/9/2003;76,15;77,55
29/9/2003;76,08;77,53
6/10/2003;76,43;77,66
13/10/2003;75,9;77,43
20/10/2003;76,05;77,54
27/10/2003;76;77,51
3/11/2003;76;77,52
10/11/2003;75,94;77,47
17/11/2003;75,93;77,52
24/11/2003;76,02;77,67
1/12/2003;76;77,66
8/12/2003;75,97;77,63
15/12/2003;75,96;77,62
22/12/2003;75,92;77,61
29/12/2003;75,94;77,6
5/1/2004;75,88;77,54
12/1/2004;75,9;77,54
19/1/2004;76,36;78,06
26/1/2004;76,44;78,08
2/2/2004;76,48;78,13
9/2/2004;76,5;77,98
16/2/2004;76,44;78
23/2/2004;76,38;77,93
1/3/2004;76,32;77,87
8/3/2004;76,73;78,25
15/3/2004;77,39;78,8
22/3/2004;77,44;78,92
29/3/2004;77,59;79,01
5/4/2004;77,86;79,23
12/4/2004;77,88;79,27
19/4/2004;78,04;79,43
26/4/2004;78,4;79,75
4/5/2004;79,28;80,64
10/5/2004;80,3;81,68
17/5/2004;81,49;82,83
24/5/2004;82,13;83,48
31/5/2004;82,35;83,61
7/6/2004;82,44;83,65
14/6/2004;81,54;82,6
21/6/2004;81,04;82,09
28/6/2004;80,41;81,04
5/7/2004;79,87;80,51
12/7/2004;80,34;81,05
19/7/2004;80,84;81,68
26/7/2004;80,87;81,7
2/8/2004;80,86;81,79
9/8/2004;81,18;82,14
16/8/2004;81,25;82,33
23/8/2004;81,51;82,82
31/8/2004;81,53;82,89
6/9/2004;81,37;82,92
13/9/2004;81,31;82,91
20/9/2004;81,28;83,03
27/9/2004;81,63;83,46
4/10/2004;82,05;83,84
11/10/2004;83,11;85,01
18/10/2004;83,35;85,34
25/10/2004;83,94;86,03
1/11/2004;84,27;86,42
8/11/2004;84,34;86,54
15/11/2004;84,26;86,42
22/11/2004;81,46;85,17
29/11/2004;84,17;86,36
6/12/2004;84,06;86,4
13/12/2004;82,73;85,98
20/12/2004;81,46;85,17
27/12/2004;81,2;85,14
3/1/2005;81,17;85,12
10/1/2005;79,84;84,87
17/1/2005;78,93;83,94
24/1/2005;78,93;83,87
31/1/2005;79,54;84,23
7/2/2005;79,84;84,27
14/2/2005;80,03;84,32
21/2/2005;80,15;84,36
28/2/2005;80,45;84,65
7/3/2005;81,16;85,64
14/3/2005;81,64;86,11
21/3/2005;82,7;87,06
28/3/2005;83,4;87,68
4/4/2005;83,91;88,3
11/4/2005;85,61;89,82
18/4/2005;85,63;89,8
25/4/2005;85,51;89,62
2/5/2005;85,44;89,3
9/5/2005;85,36;89,46
16/5/2005;85,27;89,4
23/5/2005;84,77;89
30/5/2005;84,18;88,39
6/6/2005;84,01;88,23
13/6/2005;84,99;88,96
20/6/2005;85,52;89,54
27/6/2005;86,73;90,27
4/7/2005;87,49;91
11/7/2005;87,73;91,89
18/7/2005;88,55;92,67
25/7/2005;89;93,03
1/8/2005;89,25;93,26
8/8/2005;89,67;93,63
15/8/2005;90,56;94,5
22/8/2005;90,77;94,68
29/8/2005;91,42;95,33
5/9/2005;94,37;97,19
12/9/2005;95,07;97,89
19/9/2005;94,41;97,32
26/9/2005;93,33;96,27
3/10/2005;93,51;96,61
10/10/2005;94,25;97,05
17/10/2005;94,14;97
24/10/2005;93,47;96,8
31/10/2005;92,79;96,57
7/11/2005;92,47;96,59
14/11/2005;90,53;94,92
21/11/2005;88,61;93,22
28/11/2005;87,35;91,8
5/12/2005;87,35;91,8
12/12/2005;87,2;91,48
19/12/2005;87,56;91,83
26/12/2005;87,88;92,12
2/1/2006;88,03;92,27
9/1/2006;88,56;92,94
16/1/2006;89,01;93,19
23/1/2006;89,55;93,62
30/1/2006;89,88;93,93
6/2/2006;89,73;93,85
13/2/2006;89,65;93,77
20/2/2006;89,6;93,75
27/2/2006;89,51;93,69
6/3/2006;89,37;93,63
13/3/2006;89,55;93,85
20/3/2006;90,19;94,42
27/3/2006;91,16;94,95
3/4/2006;91,78;95,64
10/4/2006;92,77;96,4
18/4/2006;94,23;97,64
24/4/2006;95,35;98,5
1/5/2006;96,13;98,9
8/5/2006;96,46;98,9
15/5/2006;96,39;98,74
22/5/2006;96,1;98,5
29/5/2006;95,36;97,69
5/6/2006;95,24;97,55
12/6/2006;95,49;97,75
19/6/2006;95,44;97,77
26/6/2006;94,97;97,36
3/7/2006;95,27;97,6
10/7/2006;95,69;97,99
17/7/2006;96,88;98,74
24/7/2006;97,78;99,41
31/7/2006;97,83;99,41
7/8/2006;98,05;99,57
14/8/2006;97,82;99,45
21/8/2006;95,74;97,93
28/8/2006;94,4;96,67
4/9/2006;92,88;95,92
11/9/2006;91,48;95,34
18/9/2006;89,78;94,95
25/9/2006;88,2;93,51
2/10/2006;86,95;92,13
9/10/2006;86,6;91,74
16/10/2006;85,91;91,59
23/10/2006;85,74;91,22
30/10/2006;85,6;91,17
6/11/2006;85,54;91,12
13/11/2006;85,49;91,15
20/11/2006;85,45;91,17
27/11/2006;85,47;91,17
4/12/2006;85,46;91,5
11/12/2006;87,44;92,96
18/12/2006;87,7;93,26
25/12/2006;87,9;93,41
1/1/2007;87,85;93,4
8/1/2007;87,66;93,11
15/1/2007;87,1;91,55
22/1/2007;86,28;90,45
29/1/2007;85,66;89,7
5/2/2007;85,62;89,63
12/2/2007;86,12;90,11
19/2/2007;86,6;90,55
26/2/2007;87,07;91,02
5/3/2007;87,74;91,59
12/3/2007;88,48;92,17
19/3/2007;88,93;92,61
26/3/2007;89,32;92,91
2/4/2007;90,47;93,9
10/4/2007;91,18;94,33
16/4/2007;91,99;94,86
23/4/2007;92,93;95,39
30/4/2007;93,45;95,71
7/5/2007;94,43;96,12
14/5/2007;95,07;96,47
