date;name;Custom
2014-01-01;NEW YEAR'S DAY;GLOBAL
2014-01-02;NEW YEAR'S DAY;SCOTLAND
2014-04-18;GOOD FRIDAY;GLOBAL
2014-04-21;EASTER MONDAY;ENGLAND AND WALES
2014-05-05;EARLY MAY BANK HOLIDAY;GLOBAL
2014-05-26;SPRING BANK HOLIDAY;GLOBAL
2014-08-04;SUMMER BANK HOLIDAY;SCOTLAND
2014-08-25;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2014-11-30;SAINT ANDREW'S DAY;SCOTLAND
2014-12-25;CHRISTMAS DAY;GLOBAL
2014-12-26;ST. STEPHEN'S DAY;GLOBAL
2015-01-01;NEW YEAR'S DAY;GLOBAL
2015-01-02;NEW YEAR'S DAY;SCOTLAND
2015-04-03;GOOD FRIDAY;GLOBAL
2015-04-06;EASTER MONDAY;ENGLAND AND WALES
2015-05-04;EARLY MAY BANK HOLIDAY;GLOBAL
2015-05-25;SPRING BANK HOLIDAY;GLOBAL
2015-08-03;SUMMER BANK HOLIDAY;SCOTLAND
2015-08-31;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2015-11-30;SAINT ANDREW'S DAY;SCOTLAND
2015-12-25;CHRISTMAS DAY;GLOBAL
2015-12-28;ST. STEPHEN'S DAY;GLOBAL
2016-01-01;NEW YEAR'S DAY;GLOBAL
2016-01-04;NEW YEAR'S DAY;SCOTLAND
2016-03-25;GOOD FRIDAY;GLOBAL
2016-03-28;EASTER MONDAY;ENGLAND AND WALES
2016-05-02;EARLY MAY BANK HOLIDAY;GLOBAL
2016-05-30;SPRING BANK HOLIDAY;GLOBAL
2016-08-01;SUMMER BANK HOLIDAY;SCOTLAND
2016-08-29;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2016-11-30;SAINT ANDREW'S DAY;SCOTLAND
2016-12-26;ST. STEPHEN'S DAY;GLOBAL
2016-12-27;CHRISTMAS DAY;GLOBAL
2017-01-02;NEW YEAR'S DAY;ENGLAND AND WALES
2017-01-02;NEW YEAR'S DAY;SCOTLAND
2017-01-03;NEW YEAR'S DAY;SCOTLAND
2017-04-14;GOOD FRIDAY;GLOBAL
